#SampleID	Tissue	Wingband	Cage	Treatment	Collection_Day	D3_weight	D6_weight	D6_weight_group	D13_weight	D13_weight_group	Gain313	Gain613	Abx	Probiotic	Treatment2	Treatment3
D03C04B2T	Trachea	158324	C04	5_BMD	D03	74	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D03C16B2T	Trachea	158334	C16	5_BMD	D03	73.8	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D03C21B2T	Trachea	158341	C21	5_BMD	D03	83.8	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D03C25B2T	Trachea	158360	C25	5_BMD	D03	76.5	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D03C35B2T	Trachea	158366	C35	5_BMD	D03	74.2	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D03C47B2T	Trachea	158376	C47	5_BMD	D03	72.3	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D03C54B2T	Trachea	158389	C54	5_BMD	D03	69.7	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
D03C58B2T	Trachea	158391	C58	5_BMD	D03	76.5	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C04B1C	Ceca	158330	C04	5_BMD	D03	63.7	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C04B1I	Ileum	158330	C04	5_BMD	D03	63.7	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C04B2C	Ceca	158324	C04	5_BMD	D03	74	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C04B2I	Ileum	158324	C04	5_BMD	D03	74	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C16B1C	Ceca	158338	C16	5_BMD	D03	77.4	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C16B1I	Ileum	158338	C16	5_BMD	D03	77.4	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C16B2C	Ceca	158334	C16	5_BMD	D03	73.8	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C16B2I	Ileum	158334	C16	5_BMD	D03	73.8	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C21B1C	Ceca	158349	C21	5_BMD	D03	78.9	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C21B1I	Ileum	158349	C21	5_BMD	D03	78.9	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C21B2C	Ceca	158341	C21	5_BMD	D03	83.8	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C21B2I	Ileum	158341	C21	5_BMD	D03	83.8	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C25B1C	Ceca	158353	C25	5_BMD	D03	82.3	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C25B1I	Ileum	158353	C25	5_BMD	D03	82.3	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C25B2C	Ceca	158360	C25	5_BMD	D03	76.5	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C25B2I	Ileum	158360	C25	5_BMD	D03	76.5	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C35B1C	Ceca	158369	C35	5_BMD	D03	74.2	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C35B1I	Ileum	158369	C35	5_BMD	D03	74.2	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C35B2C	Ceca	158366	C35	5_BMD	D03	74.2	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
TJPBXD03C35B2I	Ileum	158366	C35	5_BMD	D03	74.2	NA	NA	NA	NA	NA	NA	Yes	No	BMD	Antibiotic
