	PD_whole_tree	chao1	observed_species	shannon	simpson
D03C01B2T	24.97532	606.590163934	501.0	5.82613298073	0.951388595207
D03C03B2T	26.00859	641.0	502.0	6.18171272673	0.965278693211
D03C04B2T	23.74579	510.888888889	440.0	5.72820243398	0.947083456627
D03C05B2T	21.02471	479.131147541	412.0	5.50508127329	0.952991909883
D03C06B2T	26.29179	617.25862069	490.0	5.88733899651	0.9535498233
D03C09B2T	29.63819	699.081967213	553.0	5.52738026701	0.929013890576
D03C11B2T	21.75403	439.0	348.0	5.45601461604	0.935747240479
D03C14B2T	34.99256	770.0	615.0	6.05434599104	0.963109793398
D03C16B2T	24.37484	520.0	425.0	6.20478755256	0.975995520502
D03C17B2T	24.59376	534.275	413.0	6.02064734168	0.963983619917
D03C19B2T	20.89816	419.622222222	344.0	5.1197225133	0.907127066298
D03C21B2T	12.15272	301.8	231.0	4.5032741477	0.879159596556
D03C22B2T	25.78048	646.132075472	478.0	5.80680906686	0.965781070639
D03C24B2T	23.06434	445.068181818	362.0	5.63070305558	0.94189288857
D03C25B2T	24.77216	559.20754717	401.0	5.72756796345	0.961316931169
D03C27B2T	25.21016	635.358490566	482.0	5.40515007056	0.933580269955
D03C30B2T	10.17853	147.041666667	102.0	2.54764317899	0.657599561752
D03C31B2T	26.97801	657.466666667	488.0	6.32152632313	0.970782672014
D03C32B2T	11.32752	225.157894737	192.0	5.37746877474	0.938155266466
D03C33B2T	23.23603	488.72	405.0	5.6610532472	0.965292512104
D03C35B2T	24.62284	507.442622951	453.0	5.57575444773	0.967025353248
D03C38B2T	8.23329	144.6	104.0	5.46471309952	0.968091740834
D03C40B2T	28.31751	766.780821918	570.0	5.96326626525	0.956858102975
D03C41B2T	19.58578	416.651162791	315.0	5.7197787925	0.955271770697
D03C42B2T	8.95948	190.5	148.0	5.14459769052	0.93286188909
D03C43B2T	19.28368	484.8	354.0	4.07959686315	0.861953693899
D03C46B2T	14.26899	290.206896552	239.0	5.00112753263	0.912559582752
D03C47B2T	21.82094	464.294117647	369.0	4.79447958851	0.89091666037
D03C48B2T	17.1601	388.441176471	309.0	4.9994177519	0.911047663508
D03C49B2T	22.08666	458.319148936	375.0	5.71857289206	0.956778592728
D03C51B2T	24.14831	555.021276596	458.0	5.00254239786	0.904534390305
D03C52B2T	10.47386	236.965517241	193.0	3.22941810084	0.81760794627
D03C54B2T	7.93432	188.5	163.0	3.16696145202	0.811097504242
D03C56B2T	8.88972	205.0	154.0	3.03388549341	0.800926096852
D03C57B2T	15.68271	392.066666667	307.0	3.74897128423	0.852312999634
D03C58B2T	20.96534	428.534883721	364.0	3.38271739428	0.819000545059
D03C59B2T	11.78119	296.03030303	233.0	3.09096805867	0.79412507589
D03C62B2T	8.86183	201.516129032	162.0	2.9846075993	0.800043488448
D03C64B2T	12.31525	291.636363636	212.0	2.9831076878	0.793463004311
D06C01B2T	23.99307	540.4	424.0	5.79322629902	0.944510979707
D06C03B2T	29.05925	643.041666667	552.0	6.3281080754	0.964578751607
D06C04B2T	12.82962	296.076923077	228.0	3.1505786021	0.808841278126
D06C05B2T	22.81234	561.666666667	438.0	5.66162360522	0.946611944687
D06C06B2T	19.94834	549.263157895	419.0	5.49766640523	0.932933238535
D06C08B2T	15.15567	326.5	244.0	4.42247139797	0.902288710093
D06C09B2T	25.45945	621.163265306	473.0	5.70078824286	0.943053152851
D06C11B2T	16.60931	411.941176471	275.0	5.87582967739	0.969658290486
D06C14B2T	23.46089	537.229508197	446.0	5.96681527666	0.972518296449
D06C16B2T	13.17112	251.230769231	192.0	2.95122626046	0.785421963091
D06C17B2T	11.23719	249.12	204.0	3.67174671321	0.830181615152
D06C19B2T	21.59073	548.181818182	389.0	5.49835991335	0.950945552375
D06C21B2T	15.1358	332.026315789	259.0	3.05059988316	0.797290765121
D06C22B2T	19.98645	459.75	396.0	6.45257651692	0.980409959393
D06C24B2T	25.75563	603.347826087	505.0	5.94189318628	0.959093427889
D06C25B2T	9.593	198.913043478	165.0	3.03747277323	0.793293034413
D06C27B2T	19.89725	390.285714286	316.0	5.28940756427	0.94265558791
D06C30B2T	20.98521	402.133333333	319.0	5.44661060569	0.937643459787
D06C31B2T	7.46724	233.545454545	161.0	3.43622168072	0.823999546734
D06C32B2T	21.50955	547.0	388.0	5.79786229191	0.954257103087
D06C33B2T	23.40137	547.028571429	414.0	5.88242391887	0.950160525762
D06C35B2T	13.57385	318.363636364	232.0	3.08012317003	0.790358487698
D06C38B2T	20.29624	531.162162162	375.0	5.66829044245	0.958115755701
D06C40B2T	11.99433	345.04	228.0	4.58234837273	0.944464898711
D06C41B2T	9.55054	263.153846154	180.0	4.94642143233	0.9501771736
D06C42B2T	20.71357	480.6875	347.0	5.19695438458	0.922955291748
D06C43B2T	23.38015	472.0	396.0	5.03861356448	0.927525202224
D06C46B2T	10.28019	207.5	125.0	5.72860159994	0.968700271176
D06C48B2T	25.23587	557.714285714	397.0	5.66874569357	0.968354275309
D06C49B2T	9.88992	237.066666667	165.0	3.27104371384	0.824489199884
D06C51B2T	9.57267	246.666666667	165.0	3.10269621823	0.805307385818
D06C52B2T	11.41103	266.391304348	192.0	3.19133693536	0.818512614711
D06C54B2T	13.39291	285.03125	218.0	3.14409227228	0.805739922278
D06C56B2T	9.49047	163.884615385	141.0	2.92317373189	0.772830989622
D06C57B2T	15.59637	347.146341463	258.0	3.00804125248	0.79111440246
D06C58B2T	13.99184	310.714285714	232.0	3.27367724219	0.817344597973
D06C59B2T	16.20331	294.441860465	235.0	3.15176704255	0.808550944477
D06C62B2T	9.68931	231.235294118	183.0	3.24770092798	0.816563005383
D06C64B2T	15.17432	385.363636364	299.0	3.30795892446	0.817684598701
D13C01B2T	8.56245	155.055555556	122.0	5.45458672597	0.955450257777
D13C04B2T	9.72758	181.2	146.0	5.95865361115	0.974176948489
D13C05B2T	10.41372	204.913043478	171.0	3.5364258839	0.825497131603
D13C08B2T	9.42198	255.4	177.0	5.59050319244	0.957138954782
D13C09B2T	10.91908	220.476190476	169.0	3.64742388155	0.83707906771
D13C11B2T	9.51195	222.5	149.0	5.56270346525	0.964062000072
D13C14B2T	10.29777	226.476190476	175.0	5.67531092375	0.958719389382
D13C16B2T	12.01492	279.033333333	222.0	3.62176709916	0.837182543317
D13C17B2T	12.57462	224.387096774	188.0	5.7696648988	0.961012986798
D13C19B2T	15.12125	305.434782609	250.0	6.06751260845	0.969949516023
D13C21B2T	15.65095	406.0	301.0	2.9213855523	0.779249118588
D13C22B2T	11.19291	238.833333333	168.0	5.31223221654	0.954334632603
D13C24B2T	14.5058	326.076923077	253.0	5.24318113689	0.9561057991
D13C25B2T	8.89964	231.25	157.0	2.95727903792	0.789332498201
D13C30B2T	28.65235	961.457446809	719.0	5.38014788273	0.932341267059
D13C31B2T	23.57437	616.888888889	464.0	6.4027395895	0.970873930302
D13C32B2T	20.28599	520.277777778	404.0	5.92007153924	0.970863068049
D13C33B2T	16.63302	355.666666667	237.0	5.72823642754	0.951334778507
D13C35B2T	9.56304	215.0	145.0	5.28270923962	0.953692683091
D13C38B2T	30.13717	893.25	667.0	6.22296949383	0.972520323556
D13C42B2T	20.71264	517.528301887	396.0	6.66106161932	0.970182367924
D13C43B2T	14.84455	517.87804878	358.0	6.10463636626	0.978288917047
D13C46B2T	16.609	366.583333333	281.0	5.10533584601	0.940563230683
D13C48B2T	12.42349	284.8	199.0	3.07260785988	0.796504722793
D13C54B2T	13.57029	270.416666667	213.0	3.26007774503	0.79938060263
D13C56B2T	13.2345	307.516129032	203.0	4.91170341023	0.879827851871
D13C58B2T	18.33553	457.75	339.0	5.51684644432	0.932321662821
D13C59B2T	43.60141	1382.94957983	1089.0	7.00222021294	0.983755383349
D13C62B2T	23.16038	596.307692308	459.0	5.09478359539	0.952729673684
D13C64B2T	13.69905	369.714285714	223.0	3.65832303361	0.832808724092
TJPBXD03C01B1C	11.94545	243.903225806	196.0	5.92199583844	0.969340510877
TJPBXD03C01B1I	14.85804	369.285714286	278.0	5.44547700126	0.959303909265
TJPBXD03C01B2C	14.76363	312.212765957	284.0	4.56724223333	0.912629782303
TJPBXD03C01B2I	10.03403	275.04	222.0	4.82140891861	0.948521856885
TJPBXD03C03B1C	14.59809	399.142857143	274.0	5.49980292293	0.950423745148
TJPBXD03C03B1I	6.52444	186.0	117.0	4.15287190656	0.928431932814
TJPBXD03C03B2C	10.81336	262.416666667	205.0	4.60349491333	0.927624625612
TJPBXD03C04B1C	6.43043	155.0	103.0	5.11796429914	0.936431434877
TJPBXD03C04B1I	5.8414	121.0	61.0	1.04901457128	0.492614228291
TJPBXD03C04B2C	9.91175	228.538461538	197.0	5.01345616523	0.93215289927
TJPBXD03C04B2I	5.8127	80.5	55.0	2.98010753866	0.743474427764
TJPBXD03C05B1C	12.26681	370.105263158	243.0	4.48190955193	0.901441983372
TJPBXD03C05B1I	6.6787	138.090909091	93.0	2.36772145087	0.652498695483
TJPBXD03C05B2C	10.2748	267.0	224.0	4.96571218728	0.938763076625
TJPBXD03C05B2I	5.95268	133.153846154	95.0	3.7286263852	0.805700572872
TJPBXD03C06B1C	11.98893	359.625	249.0	5.77195519184	0.965995378259
TJPBXD03C06B2C	9.68125	223.05	169.0	4.1627192957	0.894018065255
TJPBXD03C06B2I	8.97324	197.363636364	154.0	4.72646183177	0.94694722133
TJPBXD03C08B1C	9.95788	225.0	188.0	3.99945976403	0.846482396379
TJPBXD03C08B2C	10.89176	347.333333333	222.0	4.50781829838	0.886789954155
TJPBXD03C09B1C	11.65921	321.333333333	249.0	4.81125702375	0.93361827782
